Scan,Entire Scan,VI,TI
dummy,0,0,0
np_13F02_34E04_MB006B_020413B_scaled,100,100,100
np_13F02_52H09_MB010B_021713A_scaled,100,100,100
np_13F02_52H09_MB010B_021713B_scaled,100,80,100
np_14C08_15B01_MB011A_020613B_scaled,100,90,100
np_14C08_15B01_MB011A_020613C_scaled,100,79,98
np_14E06_22B12_MB012B_020413B_scaled,100,82,100
np_24H08_53F03_MB027B_020413A_scaled,100,100,100
np_30C01_53H03_MB078C_021713B_scaled,90,100,99
np_33D07_10F07_MB033B_020613A_scaled,100,76,97
np_52B07_52H01_MB262B_021713B_scaled,100,100,100
np_58E02_22E04_MB042C_020213A_scaled,100,100,100
np_58E02_32D11_MB043B_020213A_scaled,100,100,100
np_58E02_32D11_MB043B_021713B_scaled,94,100,100
np_58E02_37E10_MB299C_021713A_scaled,100,94,100
np_58E02_87B09_MB045C_020213B_scaled,100,100,75
np_60H12_14E09_MB049B_020113B_scaled,100,100,100
np_73F07_30E11_MB302B_022013B_scaled,100,100,100
np_73F07_38E08_MB303B_022013A_scaled,100,100,100
np_73F07_38E08_MB303B_022013B_scaled,100,80,100
np_73H08_19F09_MB090A_021713A_scaled,100,100,100
np_73H08_55A07_MB243A_022013B_scaled,100,100,100
np_GL_09B11_AE_01_012410A_scaled,74,85,74
np_GL_10A07_AE_01_011511B_scaled,100,100,100
np_GL_24B09_AE_01_102709B_scaled,39,35,87
np_GL_31B04_AE_01_031911B_scaled,71,100,47
np_GL_39A12_AE_01_051609B_scaled,100,85,100
np_GL_39H11_AE_01_080409B_scaled,56,32,89
np_GL_43A11_AE_01_101609B_scaled,75,85,91
np_GL_43A12_AE_01_101210B_scaled,100,100,100
np_GL_47C10_AE_01_061509A_scaled,79,68,95
np_GL_49C01_AE_01_111710A_scaled,97,75,56
np_GL_53A06_AE_01_081209A_scaled,49,20,73
np_GL_53H01_AE_01_021611A_scaled,82,86,89
np_GL_58E05_AE_01_082709B_scaled,91,100,68
np_GL_60A07_AE_01_091509A_scaled,59,35,89
np_GL_60F09_AE_01_012010A_scaled,75,82,94
np_GL_62A03_AD_01_020610A_scaled,74,100,94
np_GL_68B03_AE_01_110408B_scaled,88,69,75
np_GL_73B11_AE_01_121309B_scaled,81,38,72
np_GL_79B07_AE_01_100110B_scaled,88,100,71
np_GL_85B08_AE_01_081210A_scaled,81,85,80
np_GL_89B10_AE_01_090410A_scaled,82,63,47
np_GL_93A08_AE_01_071110B_scaled,88,100,96
np_GL_93F05_AE_01_090310A_scaled,68,58,82
np_GL_96A08_AD_01_031911B_scaled,92,67,100
np_brain0_scaled,100,100,100
np_brain10_scaled,100,100,100
np_brain11_scaled,100,90,100
np_brain12_scaled,100,100,100
np_brain13_scaled,86,100,100
np_brain14_scaled,85,100,100
np_brain15_scaled,100,94,100
np_brain16_scaled,100,100,100
np_brain17_scaled,100,87,100
np_brain18_scaled,100,100,100
np_brain19_scaled,100,100,100
np_brain1_scaled,100,100,100
np_brain2_scaled,100,100,100
np_brain3_scaled,100,100,100
np_brain4_scaled,100,100,100
np_brain5_scaled,100,100,100
np_brain6_scaled,100,100,100
np_brain7_scaled,100,100,100
np_brain8_scaled,100,100,100
np_brain9_scaled,100,100,100
